"reportDate","gameDate","gameTime","gameMatchup","teamName","playerName","playerStatus","playerReason"
"2021-11-03","2021-11-03","07:00 (ET)","BOS@ORL","Boston Celtics","Hauser, Sam","Out","G League - Two-Way"
"2021-11-03","2021-11-03","07:00 (ET)","BOS@ORL","Boston Celtics","Pritchard, Payton","Available","Injury/Illness - Nasal Fracture; Face Mask"
"2021-11-03","2021-11-03","07:00 (ET)","BOS@ORL","Boston Celtics","Thomas, Brodric","Out","G League - Two-Way"
"2021-11-03","2021-11-03","07:00 (ET)","BOS@ORL","Orlando Magic","Carter-Williams, Michael","Out","Injury/Illness - Left Ankle; Injury recovery"
"2021-11-03","2021-11-03","07:00 (ET)","BOS@ORL","Orlando Magic","Fultz, Markelle","Out","Injury/Illness - Left Knee; Injury recovery"
"2021-11-03","2021-11-03","07:00 (ET)","BOS@ORL","Orlando Magic","Harris, Gary","Out","Injury/Illness - Left Ankle; Sprain"
"2021-11-03","2021-11-03","07:00 (ET)","BOS@ORL","Orlando Magic","Isaac, Jonathan","Out","Injury/Illness - Left Knee; Injury recovery"
"2021-11-03","2021-11-03","07:00 (ET)","BOS@ORL","Orlando Magic","Moore, E'Twaun","Out","Injury/Illness - Left Knee; Sprain"
"2021-11-03","2021-11-03","07:00 (ET)","CHI@PHI","Chicago Bulls","Dotson, Devon","Out","G League - Two-Way"
"2021-11-03","2021-11-03","07:00 (ET)","CHI@PHI","Chicago Bulls","LaVine, Zach","Available","Injury/Illness - Left Thumb; Sprain"
"2021-11-03","2021-11-03","07:00 (ET)","CHI@PHI","Chicago Bulls","Simonovic, Marko","Out","G League - On Assignment"
"2021-11-03","2021-11-03","07:00 (ET)","CHI@PHI","Chicago Bulls","White, Coby","Out","Injury/Illness - Left Shoulder; Injury Management"
"2021-11-03","2021-11-03","07:00 (ET)","CHI@PHI","Chicago Bulls","Williams, Patrick","Out","Injury/Illness - Left Wrist; Ligament Tear"
"2021-11-03","2021-11-03","07:00 (ET)","CHI@PHI","Philadelphia 76ers","Green, Danny","Out","Injury/Illness - Left Hamstring; Tightness"
"2021-11-03","2021-11-03","07:00 (ET)","CHI@PHI","Philadelphia 76ers","Harris, Tobias","Out","Health and Safety Protocols"
"2021-11-03","2021-11-03","07:00 (ET)","CHI@PHI","Philadelphia 76ers","Henry, Aaron","Out","G League - Two-Way"
"2021-11-03","2021-11-03","07:00 (ET)","CHI@PHI","Philadelphia 76ers","Riller, Grant","Out","Injury/Illness - Left Knee; Injury Recovery"
