"reportDate","gameDate","gameTime","gameMatchup","teamName","playerName","playerStatus","playerReason"
"2021-11-06","2021-11-06","05:00 (ET)","HOU@DEN","Denver Nuggets","Cancar, Vlatko","Out","Injury/Illness - Left Hip; Strain"
"2021-11-06","2021-11-06","05:00 (ET)","HOU@DEN","Denver Nuggets","Cornelie, Petr","Out","G League - Two-Way"
"2021-11-06","2021-11-06","05:00 (ET)","HOU@DEN","Denver Nuggets","Murray, Jamal","Out","Injury/Illness - Left Knee; Injury Recovery"
"2021-11-06","2021-11-06","05:00 (ET)","HOU@DEN","Houston Rockets","House Jr., Danuel","Out","Injury/Illness - Right Foot; Sprain"
"2021-11-06","2021-11-06","05:00 (ET)","HOU@DEN","Houston Rockets","Mathews, Garrison","Out","G League - Two-Way"
"2021-11-06","2021-11-06","05:00 (ET)","HOU@DEN","Houston Rockets","Nix, Daishen","Out","G League - Two-Way"
"2021-11-06","2021-11-06","05:00 (ET)","HOU@DEN","Houston Rockets","Theis, Daniel","Available","Injury/Illness - Right Great Toe; Soreness"
"2021-11-06","2021-11-06","07:30 (ET)","UTA@MIA","Miami Heat","Garrett, Marcus","Out","G League - Two-Way"
"2021-11-06","2021-11-06","07:30 (ET)","UTA@MIA","Miami Heat","Lowry, Kyle","Available","Injury/Illness - Left Ankle; Sprain"
"2021-11-06","2021-11-06","07:30 (ET)","UTA@MIA","Miami Heat","Okpala, KZ","Available","Injury/Illness - Right Ankle; Sprain"
"2021-11-06","2021-11-06","07:30 (ET)","UTA@MIA","Miami Heat","Oladipo, Victor","Out","Injury/Illness - Right Knee; Injury Recovery"
"2021-11-06","2021-11-06","07:30 (ET)","UTA@MIA","Miami Heat","Strus, Max","Out","Injury/Illness - Left Knee; Sprain"
"2021-11-06","2021-11-06","07:30 (ET)","UTA@MIA","Utah Jazz","Azubuike, Udoka","Out","G League - On Assignment"
"2021-11-06","2021-11-06","07:30 (ET)","UTA@MIA","Utah Jazz","Gay, Rudy","Out","Injury/Illness - Right Heel; Injury recovery"
"2021-11-06","2021-11-06","07:30 (ET)","UTA@MIA","Utah Jazz","Hughes, Elijah","Out","Injury/Illness - N/A; Non-COVID related illness"
"2021-11-06","2021-11-06","07:30 (ET)","UTA@MIA","Utah Jazz","Mitchell, Donovan","Available","Injury/Illness - Right Ankle; Sprain"
"2021-11-06","2021-11-06","07:30 (ET)","UTA@MIA","Utah Jazz","O'Neale, Royce","Available","Injury/Illness - Right Ankle; Sprain"
"2021-11-06","2021-11-06","08:00 (ET)","PHI@CHI","Chicago Bulls","Dotson, Devon","Out","G League - Two-Way"
"2021-11-06","2021-11-06","08:00 (ET)","PHI@CHI","Chicago Bulls","LaVine, Zach","Available","Injury/Illness - Left Thumb; Sprain"
"2021-11-06","2021-11-06","08:00 (ET)","PHI@CHI","Chicago Bulls","Simonovic, Marko","Out","G League - On Assignment"
"2021-11-06","2021-11-06","08:00 (ET)","PHI@CHI","Chicago Bulls","White, Coby","Out","Injury/Illness - Left Shoulder; Injury Management"
"2021-11-06","2021-11-06","08:00 (ET)","PHI@CHI","Chicago Bulls","Williams, Patrick","Out","Injury/Illness - Left Thumb; Ligament Tear"
"2021-11-06","2021-11-06","08:00 (ET)","PHI@CHI","Philadelphia 76ers","Green, Danny","Out","Injury/Illness - Left Hamstring; Tightness"
"2021-11-06","2021-11-06","08:00 (ET)","PHI@CHI","Philadelphia 76ers","Harris, Tobias","Out","Health and Safety Protocols"
"2021-11-06","2021-11-06","08:00 (ET)","PHI@CHI","Philadelphia 76ers","Henry, Aaron","Available","G League - Two-Way"
"2021-11-06","2021-11-06","08:00 (ET)","PHI@CHI","Philadelphia 76ers","Joe, Isaiah","Out","Health and Safety Protocols"
"2021-11-06","2021-11-06","08:00 (ET)","PHI@CHI","Philadelphia 76ers","Korkmaz, Furkan","Available","Injury/Illness - Right N/a; Wrist soreness"
"2021-11-06","2021-11-06","08:00 (ET)","PHI@CHI","Philadelphia 76ers","Riller, Grant","Out","Injury/Illness - Left Knee; Injury recovery"
"2021-11-06","2021-11-06","08:00 (ET)","PHI@CHI","Philadelphia 76ers","Simmons, Ben","Out","Personal Reasons"
"2021-11-06","2021-11-06","08:00 (ET)","PHI@CHI","Philadelphia 76ers","Springer, Jaden","Available","G League - On Assignment"
"2021-11-06","2021-11-06","08:00 (ET)","PHI@CHI","Philadelphia 76ers","Thybulle, Matisse","Out","Health and Safety Protocols"
"2021-11-06","2021-11-06","08:30 (ET)","BOS@DAL","Boston Celtics","Brown, Jaylen","Out","Injury/Illness - Right Hamstring; Tightness"
"2021-11-06","2021-11-06","08:30 (ET)","BOS@DAL","Boston Celtics","Hauser, Sam","Out","G League - Two-Way"
"2021-11-06","2021-11-06","08:30 (ET)","BOS@DAL","Boston Celtics","Pritchard, Payton","Available","Injury/Illness - Nasal Fracture; Face Mask"
"2021-11-06","2021-11-06","08:30 (ET)","BOS@DAL","Boston Celtics","Richardson, Josh","Questionable","Injury/Illness - Left Foot; Contusion"
"2021-11-06","2021-11-06","08:30 (ET)","BOS@DAL","Boston Celtics","Thomas, Brodric","Out","G League - Two-Way"
"2021-11-06","2021-11-06","08:30 (ET)","BOS@DAL","Dallas Mavericks","Bullock, Reggie","Available","Injury/Illness - Face; Facial Injury"
