"reportDate","gameDate","gameMatchup","teamName","playerName","playerStatus","playerReason"
"2021-10-05","2021-10-05","IND@NYK","Indiana Pacers","LeVert, Caris","Out","Injury/Illness - Back; Sore Lower Back"
"2021-10-05","2021-10-05","IND@NYK","Indiana Pacers","Sumner, Edmond","Out","Injury/Illness - Left Achilles Tendon; Torn"
"2021-10-05","2021-10-05","IND@NYK","Indiana Pacers","Warren, T.J.","Out","Injury/Illness - Left Navicular; Fractured Left Navicular"
"2021-10-05","2021-10-05","IND@NYK","New York Knicks","Noel, Nerlens","Out","Injury/Illness - Left Knee; sore"
"2021-10-05","2021-10-05","IND@NYK","New York Knicks","Robinson, Mitchell","Out","Injury/Illness - Right Foot; sore"
"2021-10-05","2021-10-05","CLE@CHI","Chicago Bulls","Bradley, Tony","Out","Injury/Illness - Left Low Back; Strain"
"2021-10-05","2021-10-05","CLE@CHI","Chicago Bulls","Jones Jr., Derrick","Out","Injury/Illness - Left Ankle; Sprain"
"2021-10-05","2021-10-05","CLE@CHI","Chicago Bulls","Simonovic, Marko","Out","Injury/Illness - Right Thumb; Sprain"
"2021-10-05","2021-10-05","CLE@CHI","Chicago Bulls","White, Coby","Out","Injury/Illness - Left Shoulder; Surgery"
"2021-10-05","2021-10-05","CLE@CHI","Chicago Bulls","Williams, Patrick","Out","Injury/Illness - Left Ankle; Sprain"
"2021-10-05","2021-10-05","CLE@CHI","Cleveland Cavaliers","Fall, Tacko","Out","Not With Team"
"2021-10-05","2021-10-05","MIL@MEM","Memphis Grizzlies","Brooks, Dillon","Out","Injury/Illness - Right Thigh; Soreness"
"2021-10-05","2021-10-05","MIL@MEM","Memphis Grizzlies","McDermott, Sean","Out","Injury/Illness - Right Patellar; Tendinopathy"
"2021-10-05","2021-10-05","MIL@MEM","Memphis Grizzlies","Merrill, Sam","Out","Injury/Illness - Left Ankle; Sprain"
"2021-10-05","2021-10-05","MIL@MEM","Memphis Grizzlies","Tillie, Killian","Out","Injury/Illness - Back; Soreness"
"2021-10-05","2021-10-05","MIL@MEM","Milwaukee Bucks","Antetokounmpo, Giannis","Out","Injury/Illness - Left Knee; Soreness"
"2021-10-05","2021-10-05","MIL@MEM","Milwaukee Bucks","DiVincenzo, Donte","Out","Injury/Illness - Left Ankle; Surgery"
"2021-10-05","2021-10-05","MIL@MEM","Milwaukee Bucks","Holiday, Jrue","Out","Injury/Illness - Left knee; Soreness"
"2021-10-05","2021-10-05","MIL@MEM","Milwaukee Bucks","Hood, Rodney","Out","Injury/Illness - Right Midfoot; Soreness"
"2021-10-05","2021-10-05","MIL@MEM","Milwaukee Bucks","Middleton, Khris","Out","Injury/Illness - Bilateral Hamstring; Soreness"
"2021-10-05","2021-10-05","MIL@MEM","Milwaukee Bucks","Ojeleye, Semi","Out","Injury/Illness - Left Calf; Strain"
"2021-10-05","2021-10-05","MIL@MEM","Milwaukee Bucks","Portis, Bobby","Out","Injury/Illness - Left Hamstring; Strain"
"2021-10-05","2021-10-05","WAS@HOU","Washington Wizards","Avdija, Deni","Out","Rest - Rest"
"2021-10-05","2021-10-05","WAS@HOU","Washington Wizards","Bryant, Thomas","Out","Injury/Illness - Left ACL; Left ACL injury"
"2021-10-05","2021-10-05","WAS@HOU","Washington Wizards","Caldwell-Pope, Kentavious","Out","Injury/Illness - N/a; Dental Procedure"
"2021-10-05","2021-10-05","WAS@HOU","Washington Wizards","Hachimura, Rui","Out","Personal Reasons"
"2021-10-05","2021-10-05","WAS@HOU","Washington Wizards","Winston, Cassius","Out","Injury/Illness - Left Hamstring; Left Hamstring strain"
"2021-10-05","2021-10-06","LAL@PHX","Los Angeles Lakers","Ariza, Trevor","Out","Injury/Illness - Right Ankle; Sore right ankle"
"2021-10-05","2021-10-06","LAL@PHX","Phoenix Suns","Booker, Devin","Out","Return to Competition Reconditioning"
"2021-10-05","2021-10-06","LAL@PHX","Phoenix Suns","Saric, Dario","Out","Injury/Illness - Right Knee; Rehab"
"2021-10-05","2021-10-06","SAS@DET","Detroit Pistons","Cunningham, Cade","Out","Injury/Illness - Right Ankle; Sprain"
"2021-10-05","2021-10-06","SAS@DET","Detroit Pistons","Cunningham, Jared","Out","Injury/Illness - Right Hamstring; Strain"
"2021-10-05","2021-10-06","SAS@DET","Detroit Pistons","Hayes, Killian","Questionable","Injury/Illness - Left Ankle; Sprain"
"2021-10-05","2021-10-06","SAS@DET","Detroit Pistons","Jackson, Frank","Out","Injury/Illness - Right Ankle; Sprain"
"2021-10-05","2021-10-06","SAS@DET","Detroit Pistons","Livers, Isaiah","Out","Injury/Illness - Right Foot; Surgery"
"2021-10-05","2021-10-06","SAS@DET","Detroit Pistons","Smith, Chris","Out","Injury/Illness - Left Knee; Surgery"
"2021-10-05","2021-10-06","SAS@DET","Detroit Pistons","Stanley, Cassius","Out","Injury/Illness - Right Knee; Soreness"
"2021-10-05","2021-10-06","SAS@DET","Detroit Pistons","Walton Jr., Derrick","Out","Injury/Illness - Right Head; Migraine"
"2021-10-05","2021-10-06","SAS@DET","San Antonio Spurs","Collins, Zach","Out","Injury/Illness - Left Ankle; Stress Fracture Surgery"
"2021-10-05","2021-10-06","SAS@DET","San Antonio Spurs","Jones, Tre","Doubtful","Injury/Illness - Left Ankle; Sprain"
"2021-10-05","2021-10-06","CLE@ATL","Atlanta Hawks","Bogdanovic, Bogdan","Out","Rest - Rest"
"2021-10-05","2021-10-06","CLE@ATL","Atlanta Hawks","Capela, Clint","Out","Injury/Illness - Left Achilles; Injury Management"
"2021-10-05","2021-10-06","CLE@ATL","Atlanta Hawks","Hunter, De'Andre","Probable","Injury/Illness - Right Knee; Injury Management"
"2021-10-05","2021-10-06","CLE@ATL","Atlanta Hawks","Okongwu, Onyeka","Out","Injury/Illness - Right Shoulder; Surgery Rehabilitation"
"2021-10-05","2021-10-06","CLE@ATL","Atlanta Hawks","Young, Trae","Doubtful","Injury/Illness - Right Quad; Contusion"
"2021-10-05","2021-10-06","CLE@ATL","Cleveland Cavaliers",NA,NA,NA
"2021-10-05","2021-10-06","ORL@NOP","New Orleans Pelicans","Hayes, Jaxson","Out","Injury/Illness - Left Ankle; Sprain"
"2021-10-05","2021-10-06","ORL@NOP","New Orleans Pelicans","Valanciunas, Jonas","Probable","Injury/Illness - Right Thumb; Strain"
"2021-10-05","2021-10-06","ORL@NOP","New Orleans Pelicans","Williamson, Zion","Out","Injury/Illness - Right Foot; Surgery"
"2021-10-05","2021-10-06","ORL@NOP","Orlando Magic","Carter-Williams, Michael","Out","Injury/Illness - Left Ankle; Injury Rehabilitation"
"2021-10-05","2021-10-06","ORL@NOP","Orlando Magic","Fultz, Markelle","Out","Injury/Illness - Left Knee; Injury Rehabilitation"
"2021-10-05","2021-10-06","ORL@NOP","Orlando Magic","Isaac, Jonathan","Out","Injury/Illness - Left Knee; Injury Rehabilitation"
"2021-10-05","2021-10-06","ORL@NOP","Orlando Magic","Okeke, Chuma","Out","Injury/Illness - Right Hip; Bone Bruise"
"2021-10-05","2021-10-06","UTA@DAL","Dallas Mavericks","Finney-Smith, Dorian","Out","Rest"
"2021-10-05","2021-10-06","UTA@DAL","Dallas Mavericks","Ntilikina, Frank","Out","Rest"
"2021-10-05","2021-10-06","UTA@DAL","Dallas Mavericks","Powell, Dwight","Out","Rest"
"2021-10-05","2021-10-06","UTA@DAL","Dallas Mavericks","Terry, Tyrell","Out","Not With Team"
"2021-10-05","2021-10-06","UTA@DAL","Utah Jazz","Bogdanovic, Bojan","Out","Injury/Illness - Right Shoulder; Soreness"
"2021-10-05","2021-10-06","UTA@DAL","Utah Jazz","Gay, Rudy","Out","Injury/Illness - Right Heel; Surgery"
"2021-10-05","2021-10-06","DEN@GSW","Denver Nuggets","Barton, Will","Doubtful","Injury/Illness - Left Ankle; Sprain"
"2021-10-05","2021-10-06","DEN@GSW","Denver Nuggets","Murray, Jamal","Out","Injury/Illness - Left Acl; Surgery"
"2021-10-05","2021-10-06","DEN@GSW","Denver Nuggets","Porter Jr., Michael","Probable","Injury/Illness - Left Knee; Soreness"
"2021-10-05","2021-10-06","DEN@GSW","Golden State Warriors","Payton II, Gary","Out","Injury/Illness - Right General; Inguinal Hernia"
"2021-10-05","2021-10-06","DEN@GSW","Golden State Warriors","Thompson, Klay","Out","Injury/Illness - Right Achilles Tendon; Repair"
"2021-10-05","2021-10-06","DEN@GSW","Golden State Warriors","Wiseman, James","Out","Injury/Illness - Right Knee; Meniscus Tear"
"2021-10-05","2021-10-06","SAC@LAC","LA Clippers",NA,NA,NA
