"reportDate","gameDate","gameTime","gameMatchup","teamName","playerName","playerStatus","playerReason"
"2021-10-06","2021-10-06","06:00 (ET)","LAL@PHX","Los Angeles Lakers","Ariza, Trevor","Out","Injury/Illness - Right Ankle; Sore right ankle"
"2021-10-06","2021-10-06","06:00 (ET)","LAL@PHX","Phoenix Suns","Booker, Devin","Out","Return to Competition Reconditioning"
"2021-10-06","2021-10-06","06:00 (ET)","LAL@PHX","Phoenix Suns","Saric, Dario","Out","Injury/Illness - Right Knee; Rehab"
"2021-10-06","2021-10-06","07:00 (ET)","SAS@DET","Detroit Pistons","Cunningham, Cade","Out","Injury/Illness - Right Ankle; Sprain"
"2021-10-06","2021-10-06","07:00 (ET)","SAS@DET","Detroit Pistons","Cunningham, Jared","Out","Injury/Illness - Right Hamstring; Strain"
"2021-10-06","2021-10-06","07:00 (ET)","SAS@DET","Detroit Pistons","Hayes, Killian","Out","Injury/Illness - Left Ankle; Sprain"
"2021-10-06","2021-10-06","07:00 (ET)","SAS@DET","Detroit Pistons","Jackson, Frank","Out","Injury/Illness - Right Ankle; Sprain"
"2021-10-06","2021-10-06","07:00 (ET)","SAS@DET","Detroit Pistons","Livers, Isaiah","Out","Injury/Illness - Right Foot; Surgery"
"2021-10-06","2021-10-06","07:00 (ET)","SAS@DET","Detroit Pistons","Smith, Chris","Out","Injury/Illness - Left Knee; Surgery"
"2021-10-06","2021-10-06","07:00 (ET)","SAS@DET","Detroit Pistons","Stanley, Cassius","Out","Injury/Illness - Right Knee; Soreness"
"2021-10-06","2021-10-06","07:00 (ET)","SAS@DET","Detroit Pistons","Walton Jr., Derrick","Out","Injury/Illness - Right Head; Migraine"
"2021-10-06","2021-10-06","07:00 (ET)","SAS@DET","San Antonio Spurs","Collins, Zach","Out","Injury/Illness - Left Ankle; Stress Fracture Surgery"
"2021-10-06","2021-10-06","07:00 (ET)","SAS@DET","San Antonio Spurs","Jones, Tre","Out","Injury/Illness - Left Ankle; Sprain"
"2021-10-06","2021-10-06","07:30 (ET)","CLE@ATL","Atlanta Hawks","Bogdanovic, Bogdan","Out","Rest - Rest"
"2021-10-06","2021-10-06","07:30 (ET)","CLE@ATL","Atlanta Hawks","Capela, Clint","Out","Injury/Illness - Left Achilles; Injury Management"
"2021-10-06","2021-10-06","07:30 (ET)","CLE@ATL","Atlanta Hawks","Gallinari, Danilo","Out","Rest - Rest"
"2021-10-06","2021-10-06","07:30 (ET)","CLE@ATL","Atlanta Hawks","Hill, Solomon","Out","Rest - Rest"
"2021-10-06","2021-10-06","07:30 (ET)","CLE@ATL","Atlanta Hawks","Hunter, De'Andre","Available","Injury/Illness - Right Knee; Injury Management"
"2021-10-06","2021-10-06","07:30 (ET)","CLE@ATL","Atlanta Hawks","Okongwu, Onyeka","Out","Injury/Illness - Right Shoulder; Surgery Rehabilitation"
"2021-10-06","2021-10-06","07:30 (ET)","CLE@ATL","Atlanta Hawks","Young, Trae","Out","Injury/Illness - Right Quad; Contusion"
"2021-10-06","2021-10-06","08:00 (ET)","ORL@NOP","New Orleans Pelicans","Hayes, Jaxson","Out","Injury/Illness - Left Ankle; Sprain"
"2021-10-06","2021-10-06","08:00 (ET)","ORL@NOP","New Orleans Pelicans","Ingram, Brandon","Out","Injury/Illness - Right Knee; Contusion"
"2021-10-06","2021-10-06","08:00 (ET)","ORL@NOP","New Orleans Pelicans","Valanciunas, Jonas","Available","Injury/Illness - Right Thumb; Strain"
"2021-10-06","2021-10-06","08:00 (ET)","ORL@NOP","New Orleans Pelicans","Williamson, Zion","Out","Injury/Illness - Right Foot; Surgery"
"2021-10-06","2021-10-06","08:00 (ET)","ORL@NOP","Orlando Magic","Carter-Williams, Michael","Out","Injury/Illness - Left Ankle; Injury Rehabilitation"
"2021-10-06","2021-10-06","08:00 (ET)","ORL@NOP","Orlando Magic","Fultz, Markelle","Out","Injury/Illness - Left Knee; Injury Rehabilitation"
"2021-10-06","2021-10-06","08:00 (ET)","ORL@NOP","Orlando Magic","Isaac, Jonathan","Out","Injury/Illness - Left Knee; Injury Rehabilitation"
"2021-10-06","2021-10-06","08:00 (ET)","ORL@NOP","Orlando Magic","Okeke, Chuma","Out","Injury/Illness - Right Hip; Bone Bruise"
"2021-10-06","2021-10-06","08:30 (ET)","UTA@DAL","Dallas Mavericks","Finney-Smith, Dorian","Out","Rest"
"2021-10-06","2021-10-06","08:30 (ET)","UTA@DAL","Dallas Mavericks","Ntilikina, Frank","Out","Rest"
"2021-10-06","2021-10-06","08:30 (ET)","UTA@DAL","Dallas Mavericks","Powell, Dwight","Out","Rest"
"2021-10-06","2021-10-06","08:30 (ET)","UTA@DAL","Dallas Mavericks","Terry, Tyrell","Out","Not With Team"
"2021-10-06","2021-10-06","08:30 (ET)","UTA@DAL","Utah Jazz","Bogdanovic, Bojan","Out","Injury/Illness - Right Shoulder; Soreness"
"2021-10-06","2021-10-06","08:30 (ET)","UTA@DAL","Utah Jazz","Conley, Mike","Out","Rest"
"2021-10-06","2021-10-06","08:30 (ET)","UTA@DAL","Utah Jazz","Gay, Rudy","Out","Injury/Illness - Right Heel; Surgery"
"2021-10-06","2021-10-06","08:30 (ET)","UTA@DAL","Utah Jazz","Gobert, Rudy","Out","Rest"
"2021-10-06","2021-10-06","08:30 (ET)","UTA@DAL","Utah Jazz","Ingles, Joe","Out","Rest"
"2021-10-06","2021-10-06","08:30 (ET)","UTA@DAL","Utah Jazz","Mitchell, Donovan","Out","Rest"
"2021-10-06","2021-10-06","08:30 (ET)","UTA@DAL","Utah Jazz","Whiteside, Hassan","Out","Injury/Illness - Left Heel; Soreness"
"2021-10-06","2021-10-06","10:00 (ET)","DEN@GSW","Denver Nuggets","Barton, Will","Doubtful","Injury/Illness - Left Ankle; Sprain"
