"reportDate","gameDate","gameTime","gameMatchup","teamName","playerName","playerStatus","playerReason"
"2021-11-10","2021-11-10","07:00 (ET)","BKN@ORL","Brooklyn Nets","Claxton, Nic","Out","Injury/Illness - N/a; Illness (non-covid)"
"2021-11-10","2021-11-10","07:00 (ET)","BKN@ORL","Brooklyn Nets","Duke Jr., David","Out","G League - Two-Way"
"2021-11-10","2021-11-10","07:00 (ET)","BKN@ORL","Brooklyn Nets","Edwards, Kessler","Out","G League - Two-Way"
"2021-11-10","2021-11-10","07:00 (ET)","BKN@ORL","Brooklyn Nets","Irving, Kyrie","Out","Not With Team"
"2021-11-10","2021-11-10","07:00 (ET)","BKN@ORL","Orlando Magic","Carter-Williams, Michael","Out","Injury/Illness - Left Ankle; Injury recovery"
"2021-11-10","2021-11-10","07:00 (ET)","BKN@ORL","Orlando Magic","Fultz, Markelle","Out","Injury/Illness - Left Knee; Injury recovery"
"2021-11-10","2021-11-10","07:00 (ET)","BKN@ORL","Orlando Magic","Isaac, Jonathan","Out","Injury/Illness - Left Knee; Injury recovery"
"2021-11-10","2021-11-10","07:00 (ET)","BKN@ORL","Orlando Magic","Moore, E'Twaun","Out","Injury/Illness - Left Knee; Sprain"
"2021-11-10","2021-11-10","07:00 (ET)","WAS@CLE","Cleveland Cavaliers","Love, Kevin","Out","Health and Safety Protocols"
"2021-11-10","2021-11-10","07:00 (ET)","WAS@CLE","Cleveland Cavaliers","Markkanen, Lauri","Out","Health and Safety Protocols"
"2021-11-10","2021-11-10","07:00 (ET)","WAS@CLE","Cleveland Cavaliers","Okoro, Isaac","Available","Injury/Illness - Left Hamstring; Strain"
"2021-11-10","2021-11-10","07:00 (ET)","WAS@CLE","Cleveland Cavaliers","Sexton, Collin","Out","Injury/Illness - Left Knee; Meniscal Tear"
"2021-11-10","2021-11-10","07:00 (ET)","WAS@CLE","Washington Wizards","Ayayi, Joel","Out","G League - Two-Way"
"2021-11-10","2021-11-10","07:00 (ET)","WAS@CLE","Washington Wizards","Bertans, Davis","Out","Injury/Illness - Left Ankle; Left ankle sprain"
"2021-11-10","2021-11-10","07:00 (ET)","WAS@CLE","Washington Wizards","Bryant, Thomas","Out","Injury/Illness - Left Knee; Left ACL injury recovery"
"2021-11-10","2021-11-10","07:00 (ET)","WAS@CLE","Washington Wizards","Hachimura, Rui","Out","Not With Team"
"2021-11-10","2021-11-10","07:00 (ET)","WAS@CLE","Washington Wizards","Todd, Isaiah","Out","G League - On Assignment"
"2021-11-10","2021-11-10","07:00 (ET)","WAS@CLE","Washington Wizards","Winston, Cassius","Out","G League - Two-Way"
"2021-11-10","2021-11-10","07:30 (ET)","DET@HOU","Detroit Pistons","Garza, Luka","Out","G League - On Assignment"
"2021-11-10","2021-11-10","07:30 (ET)","DET@HOU","Detroit Pistons","Hayes, Killian","Available","Injury/Illness - Left Thumb; Sprain"
"2021-11-10","2021-11-10","07:30 (ET)","DET@HOU","Detroit Pistons","Lee, Saben","Out","G League - On Assignment"
"2021-11-10","2021-11-10","07:30 (ET)","DET@HOU","Detroit Pistons","Livers, Isaiah","Out","G League - On Assignment"
"2021-11-10","2021-11-10","07:30 (ET)","DET@HOU","Detroit Pistons","Pickett, Jamorko","Out","G League - Two-Way"
"2021-11-10","2021-11-10","07:30 (ET)","DET@HOU","Detroit Pistons","Smith, Chris","Out","G League - Two-Way"
"2021-11-10","2021-11-10","07:30 (ET)","DET@HOU","Houston Rockets","Mathews, Garrison","Out","G League - Two-Way"
"2021-11-10","2021-11-10","07:30 (ET)","DET@HOU","Houston Rockets","Nix, Daishen","Out","G League - Two-Way"
"2021-11-10","2021-11-10","07:30 (ET)","DET@HOU","Houston Rockets","Porter Jr., Kevin","Available","Injury/Illness - Left Thigh; Contusion"
"2021-11-10","2021-11-10","07:30 (ET)","DET@HOU","Houston Rockets","Sengun, Alperen","Out","Injury/Illness - Illness; Illness"
"2021-11-10","2021-11-10","07:30 (ET)","MIL@NYK","Milwaukee Bucks","DiVincenzo, Donte","Out","Injury/Illness - Left Ankle; Injury recovery"
"2021-11-10","2021-11-10","07:30 (ET)","MIL@NYK","Milwaukee Bucks","Lopez, Brook","Out","Injury/Illness - Back; Soreness"
"2021-11-10","2021-11-10","07:30 (ET)","MIL@NYK","Milwaukee Bucks","Middleton, Khris","Out","Health and Safety Protocols"
"2021-11-10","2021-11-10","07:30 (ET)","MIL@NYK","New York Knicks","Noel, Nerlens","Out","Injury/Illness - Right Knee; Sprained"
"2021-11-10","2021-11-10","07:30 (ET)","MIL@NYK","New York Knicks","Robinson, Mitchell","Available","Injury/Illness - Left Hip; Strained"
"2021-11-10","2021-11-10","07:30 (ET)","MIL@NYK","New York Knicks","Samanic, Luka","Out","G League - Two-Way"
"2021-11-10","2021-11-10","07:30 (ET)","TOR@BOS","Boston Celtics","Brown, Jaylen","Out","Injury/Illness - Right Hamstring; Strain"
"2021-11-10","2021-11-10","07:30 (ET)","TOR@BOS","Boston Celtics","Pritchard, Payton","Available","Injury/Illness - Nasal Fracture; Face Mask"
"2021-11-10","2021-11-10","07:30 (ET)","TOR@BOS","Boston Celtics","Thomas, Brodric","Out","Injury/Illness - Left AC Joint; Sprain"
"2021-11-10","2021-11-10","07:30 (ET)","TOR@BOS","Toronto Raptors","Birch, Khem","Out","Injury/Illness - Right Knee; Swelling"
"2021-11-10","2021-11-10","07:30 (ET)","TOR@BOS","Toronto Raptors","Bonga, Isaac","Out","G League - On Assignment"
"2021-11-10","2021-11-10","07:30 (ET)","TOR@BOS","Toronto Raptors","Johnson, David","Out","G League - Two-Way"
"2021-11-10","2021-11-10","07:30 (ET)","TOR@BOS","Toronto Raptors","Watanabe, Yuta","Out","Injury/Illness - Left Calf; Strain"
"2021-11-10","2021-11-10","08:00 (ET)","CHA@MEM","Charlotte Hornets","Carey Jr., Vernon","Out","G League - On Assignment"
"2021-11-10","2021-11-10","08:00 (ET)","CHA@MEM","Charlotte Hornets","Kulboka, Arnoldas","Out","G League - Two-Way"
"2021-11-10","2021-11-10","08:00 (ET)","CHA@MEM","Charlotte Hornets","Lewis, Scottie","Out","G League - Two-Way"
"2021-11-10","2021-11-10","08:00 (ET)","CHA@MEM","Charlotte Hornets","Thor, JT","Out","G League - On Assignment"
"2021-11-10","2021-11-10","08:00 (ET)","CHA@MEM","Charlotte Hornets","Washington, P.J.","Out","Injury/Illness - Left Elbow; Hyperextension"
"2021-11-10","2021-11-10","08:00 (ET)","CHA@MEM","Memphis Grizzlies","Brooks, Dillon","Available","Injury/Illness - Left Hand; Fracture Recovery"
"2021-11-10","2021-11-10","08:00 (ET)","CHA@MEM","Memphis Grizzlies","Pons, Yves","Out","Injury/Illness - Left Ankle; Soreness"
"2021-11-10","2021-11-10","08:00 (ET)","CHA@MEM","Memphis Grizzlies","Tillie, Killian","Out","Injury/Illness - Back; Soreness"
"2021-11-10","2021-11-10","08:00 (ET)","CHA@MEM","Memphis Grizzlies","Williams, Ziaire","Available","Injury/Illness - Right Wrist; Soreness"
"2021-11-10","2021-11-10","08:00 (ET)","DAL@CHI","Chicago Bulls","Cook, Tyler","Out","G League - Two-Way"
"2021-11-10","2021-11-10","08:00 (ET)","DAL@CHI","Chicago Bulls","Dotson, Devon","Out","G League - Two-Way"
"2021-11-10","2021-11-10","08:00 (ET)","DAL@CHI","Chicago Bulls","LaVine, Zach","Available","Injury/Illness - Left Thumb; Sprain"
"2021-11-10","2021-11-10","08:00 (ET)","DAL@CHI","Chicago Bulls","Simonovic, Marko","Out","G League - On Assignment"
"2021-11-10","2021-11-10","08:00 (ET)","DAL@CHI","Chicago Bulls","White, Coby","Out","Injury/Illness - Left Shoulder; Management"
"2021-11-10","2021-11-10","08:00 (ET)","DAL@CHI","Chicago Bulls","Williams, Patrick","Out","Injury/Illness - Left Wrist; Ligament Tear"
"2021-11-10","2021-11-10","08:00 (ET)","DAL@CHI","Dallas Mavericks","Kleber, Maxi","Out","Injury/Illness - Left Oblique; Strain"
"2021-11-10","2021-11-10","08:00 (ET)","DAL@CHI","Dallas Mavericks","McLaughlin, JaQuori","Out","G League - Two-Way"
"2021-11-10","2021-11-10","08:00 (ET)","DAL@CHI","Dallas Mavericks","Omoruyi, Eugene","Out","G League - Two-Way"
"2021-11-10","2021-11-10","08:00 (ET)","OKC@NOP","New Orleans Pelicans","Hommes, Daulton","Out","Injury/Illness - Right Fibular; Stress Fracture"
"2021-11-10","2021-11-10","08:00 (ET)","OKC@NOP","New Orleans Pelicans","Ingram, Brandon","Out","Injury/Illness - Right Hip; Contusion"
"2021-11-10","2021-11-10","08:00 (ET)","OKC@NOP","New Orleans Pelicans","Jones, Herbert","Available","Injury/Illness - Left Ankle; Soreness"
"2021-11-10","2021-11-10","08:00 (ET)","OKC@NOP","New Orleans Pelicans","Marshall, Naji","Out","Injury/Illness - Right Knee; Soreness"
"2021-11-10","2021-11-10","08:00 (ET)","OKC@NOP","New Orleans Pelicans","Williamson, Zion","Out","Injury/Illness - Right Foot; Fracture"
"2021-11-10","2021-11-10","08:00 (ET)","OKC@NOP","Oklahoma City Thunder","Watson, Paul","Out","G League - Two-Way"
"2021-11-10","2021-11-10","08:00 (ET)","OKC@NOP","Oklahoma City Thunder","Wiggins, Aaron","Out","G League - Two-Way"
"2021-11-10","2021-11-10","08:30 (ET)","SAC@SAS","Sacramento Kings","Davis, Terence","Out","Injury/Illness - Left Ankle; Soreness"
"2021-11-10","2021-11-10","08:30 (ET)","SAC@SAS","Sacramento Kings","Haliburton, Tyrese","Out","Injury/Illness - Low Back; Tightness"
"2021-11-10","2021-11-10","08:30 (ET)","SAC@SAS","Sacramento Kings","King, Louis","Out","G League - Two-Way"
"2021-11-10","2021-11-10","08:30 (ET)","SAC@SAS","Sacramento Kings","Queta, Neemias","Out","G League - Two-Way"
"2021-11-10","2021-11-10","08:30 (ET)","SAC@SAS","Sacramento Kings","Woodard II, Robert","Out","G League - On Assignment"
"2021-11-10","2021-11-10","08:30 (ET)","SAC@SAS","San Antonio Spurs","Bates-Diop, Keita","Out","Injury/Illness - Low Back; Contusion"
"2021-11-10","2021-11-10","08:30 (ET)","SAC@SAS","San Antonio Spurs","Cacok, Devontae","Out","G League - Two-Way"
